ebin_center[keV]	xerr[keV]	rate[ct/keV]	rate_err_low[ct/keV]	rate_err_high[ct/keV]	SNR
1.85000e+02	3.50000e+01	9.61051e+00	2.22864e+00	2.30863e+00	4.16286e+00
2.72500e+02	5.25000e+01	2.28017e+01	3.27521e+00	3.55804e+00	6.40848e+00
4.02500e+02	7.75000e+01	4.39617e+01	2.78939e+00	2.98451e+00	1.47300e+01
5.00000e+02	2.00000e+01	6.48129e+01	7.27019e+00	7.45384e+00	8.69524e+00
6.42500e+02	1.22500e+02	1.19762e+01	1.34099e+00	1.33251e+00	8.93083e+00
9.42500e+02	1.77500e+02	4.16622e+00	8.21439e-01	7.73769e-01	5.07185e+00
1.38500e+03	2.65000e+02	7.07723e-01	3.95260e-01	3.88441e-01	1.79052e+00
2.00000e+03	3.50000e+02	5.07647e-02	3.73441e-02	8.27101e-02	6.13767e-01
2.90000e+03	5.50000e+02	1.56416e-02	1.12348e-02	2.25938e-02	6.92293e-01
4.22500e+03	7.75000e+02	4.44676e-02	9.29854e-03	1.03890e-02	4.28025e+00
