ebin_center[keV]	xerr[keV]	rate[ct/keV]	rate_err_low[ct/keV]	rate_err_high[ct/keV]	SNR
1.85000e+02	3.50000e+01	6.12278e+00	1.86238e+00	2.19392e+00	2.79080e+00
2.72500e+02	5.25000e+01	1.38637e+01	3.13094e+00	2.96678e+00	4.42798e+00
4.02500e+02	7.75000e+01	1.96002e+01	2.87998e+00	2.88826e+00	6.78616e+00
5.00000e+02	2.00000e+01	1.94827e+01	6.17202e+00	6.08135e+00	3.15661e+00
6.42500e+02	1.22500e+02	1.00774e+01	1.86390e+00	1.74335e+00	5.40659e+00
9.42500e+02	1.77500e+02	3.94205e+00	1.23334e+00	1.19639e+00	3.19624e+00
1.38500e+03	2.65000e+02	1.58678e+00	7.82778e-01	7.72344e-01	2.02711e+00
2.00000e+03	3.50000e+02	7.47421e-01	3.76696e-01	3.79017e-01	1.97200e+00
2.90000e+03	5.50000e+02	8.33879e-02	5.85521e-02	9.00265e-02	9.26259e-01
4.22500e+03	7.75000e+02	1.19111e-02	8.34928e-03	1.44690e-02	8.23213e-01
