ebin_center[keV]	xerr[keV]	rate[ct/keV]	rate_err_low[ct/keV]	rate_err_high[ct/keV]	SNR
1.85000e+02	3.50000e+01	2.82805e-01	2.09306e-01	4.76375e-01	5.93661e-01
2.72500e+02	5.25000e+01	2.26633e-01	1.66640e-01	3.68008e-01	6.15836e-01
4.02500e+02	7.75000e+01	3.51574e-01	2.56964e-01	4.93398e-01	7.12557e-01
5.00000e+02	2.00000e+01	3.46465e+01	6.39358e+00	6.32049e+00	5.41894e+00
6.42500e+02	1.22500e+02	2.08367e-01	1.51180e-01	3.23490e-01	6.44121e-01
9.42500e+02	1.77500e+02	1.66090e-01	1.23161e-01	2.39826e-01	6.92542e-01
1.38500e+03	2.65000e+02	2.03463e-01	1.52479e-01	2.96331e-01	6.86608e-01
2.00000e+03	3.50000e+02	8.40130e-01	4.10150e-01	4.27679e-01	1.96439e+00
2.90000e+03	5.50000e+02	4.00797e-02	2.85875e-02	5.74918e-02	6.97137e-01
4.22500e+03	7.75000e+02	1.23273e-02	8.62285e-03	1.36085e-02	9.05853e-01
