ebin_center[keV]	xerr[keV]	rate[ct/keV]	rate_err_low[ct/keV]	rate_err_high[ct/keV]	SNR
1.85000e+02	3.50000e+01	2.39706e+01	1.31287e+00	1.28124e+00	1.82582e+01
2.72500e+02	5.25000e+01	7.87929e+01	2.09459e+00	2.15628e+00	3.65411e+01
4.02500e+02	7.75000e+01	8.44164e+01	1.77179e+00	1.91886e+00	4.39930e+01
5.00000e+02	2.00000e+01	2.94031e+01	4.05570e+00	4.11474e+00	7.14579e+00
6.42500e+02	1.22500e+02	5.36557e+01	1.08002e+00	1.14838e+00	4.67231e+01
9.42500e+02	1.77500e+02	2.57809e+01	7.83117e-01	8.10308e-01	3.18162e+01
1.38500e+03	2.65000e+02	1.12843e+01	4.90618e-01	4.93921e-01	2.28464e+01
2.00000e+03	3.50000e+02	3.46176e+00	2.61726e-01	2.38430e-01	1.32267e+01
2.90000e+03	5.50000e+02	5.28851e-01	7.22195e-02	7.23036e-02	7.31432e+00
4.22500e+03	7.75000e+02	6.60929e-02	1.27825e-02	1.45442e-02	4.54428e+00
